기관명,기관유형,주무부처,상위기관,소재지
스포츠윤리센터,기타공공기관,문화체육관광부,,서울특별시 마포구 마포대로 78 (도화동) 자람빌딩
시청자미디어재단,기타공공기관,방송통신위원회,,서울특별시 영등포구 국회대로 74길 4
식품안전정보원,기타공공기관,식품의약품안전처,,"서울특별시 중구 소공로 70, 포스트타워 A동 12, 13층"
신용보증기금,준정부기관(기금관리형),금융위원회,,대구광역시 동구 첨단로 7(신서동)
신용보증재단중앙회,기타공공기관,중소벤처기업부,,세종특별자치시 나성남로 7-12
아동권리보장원,기타공공기관,보건복지부,,"서울특별시 중구 세종대로 22길 12, 4~10층"
아시아·태평양경제협력체 기후센터,기타공공기관,기상청,,부산광역시 해운대구 센텀7로 12
에너지경제연구원,기타공공기관,국무조정실,,울산광역시 중구 종가로 405-11(성안동)
여수광양항만공사,기타공공기관,해양수산부,,전라남도 광양시 항만대로 465(여수광양항만공사)
연구개발특구진흥재단,기타공공기관,과학기술정보통신부,,"대전광역시 유성구 엑스포로 123번길 27-5, 연구개발특구진흥재단"
영상물등급위원회,기타공공기관,문화체육관광부,,"부산광역시 해운대구 센텀서로 39 영상산업센터 1, 3층"
영화진흥위원회,기타공공기관,문화체육관광부,,부산광역시 해운대구 수영강변대로 130
예금보험공사,준정부기관(기금관리형),금융위원회,,서울특별시 중구 청계천로 30
예술의전당,기타공공기관,문화체육관광부,,서울특별시 서초구 남부순환로 2406
오송첨단의료산업진흥재단,기타공공기관,보건복지부,,충청북도 청주시 흥덕구 오송읍 오송생명로 123
울산항만공사,기타공공기관,해양수산부,,울산광역시 남구 장생포고래로 271 울산항 마린센터
의료기관평가인증원,기타공공기관,보건복지부,,서울특별시 영등포구 국회대로 76길 10(여의도동) 10층
인천국제공항공사,공기업(시장형),국토교통부,,인천광역시 중구 공항로 424번길 47
인천항만공사,기타공공기관,해양수산부,,"인천광역시 연수구 센트럴로 263, IBS타워 31~35층"
자동차손해배상진흥원,기타공공기관,국토교통부,,"서울특별시 영등포구 선유로52길 11, 6층(당산동6가)"
재단법인 건설기술교육원,기타공공기관,국토교통부,,인천광역시 남동구 소래로 688
재단법인 대한건설기계안전관리원,기타공공기관,국토교통부,,서울특별시 서초구 서초대로 42길54
재단법인 장애인기업종합지원센터,기타공공기관,중소벤처기업부,,서울특별시 영등포구 버드나루로 14길 25
재단법인 한국공공조직은행,기타공공기관,보건복지부,,서울특별시 중구 퇴계로 307 광희빌딩 11층
재단법인 한국에너지재단,기타공공기관,산업통상자원부,,서울특별시  용산구 신흥로 152(후암동)
재단법인 한국자활복지개발원,기타공공기관,보건복지부,,서울특별시  서대문구 통일로 135 충정빌딩 10층
재단법인 한국장기조직기증원,기타공공기관,보건복지부,,서울특별시 서대문구 충정로 36  5층
재외동포협력센터,기타공공기관,재외동포청,,서울특별시 서초구 남부순환로 2558 4층
전남대학교병원,기타공공기관,교육부,,광주광역시 동구 제봉로 42
전북대학교병원,기타공공기관,교육부,,전라북도 전주시 덕진구 건지로 20
전쟁기념사업회,기타공공기관,국방부,,서울특별시 용산구 이태원로 29
정보통신산업진흥원,기타공공기관,과학기술정보통신부,,충청북도 진천군 덕산읍 정통로 10
정보통신정책연구원,기타공공기관,국무조정실,,충청북도 진천군 덕산읍 정통로 18
정부법무공단,기타공공기관,법무부,,"서울특별시 강남구 테헤란로108길 12, 하나빌딩"
제주국제자유도시개발센터,공기업(준시장형),국토교통부,,제주특별자치도 제주시 첨단로 213-4(영평동)
제주대학교병원,기타공공기관,교육부,,제주특별자치도 제주시 아란13길 15(아라일동)
주식회사 에스알,공기업(준시장형),국토교통부,,서울특별시 강남구 광평로56길 12
주택관리공단(주),기타공공기관,국토교통부,,경상남도 진주시 사들로 137
주택도시보증공사,공기업(준시장형),국토교통부,,부산광역시 남구 문현금융로 40(문현동)
중소기업기술정보진흥원,기타공공기관,중소벤처기업부,,세종특별자치시 집현중앙로 79
중소기업은행,기타공공기관,금융위원회,,"서울특별시 중구 을지로 79(을지로 2가, 기업은행)"
중소벤처기업연구원,기타공공기관,중소벤처기업부,,서울특별시 동작구 신대방1가길 77 (신대방동 686-70)
중소벤처기업진흥공단,준정부기관(기금관리형),중소벤처기업부,,경상남도 진주시 동진로 430 (충무공동)
차세대수치예보모델개발사업단,기타공공기관,기상청,,"서울특별시 동작구 보라매로5길 35, 4층(신대방동, 보라매파크스퀘어)"
창업진흥원,기타공공기관,중소벤처기업부,,세종특별자치시 집현중앙7로 16(집현동)
축산물품질평가원,준정부기관(위탁집행형),농림축산식품부,,세종특별자치시 아름서길 21
충남대학교병원,기타공공기관,교육부,,대전광역시 중구 문화로 282(대사동)
충북대학교병원,기타공공기관,교육부,,충청북도 청주시 서원구 1순환로 776(개신동)
코레일관광개발(주),기타공공기관,국토교통부,,서울특별시 용산구 청파로 378(동자동 43-229)
코레일네트웍스(주),기타공공기관,국토교통부,,"서울특별시 용산구 한강대로 69 용산푸르지오써밋 13,14층(한강로2가 391)"
코레일로지스(주),기타공공기관,국토교통부,,"서울특별시 중구 중림로 49(중림동), 실로암빌딩 2층"
코레일유통(주),기타공공기관,국토교통부,,서울특별시 영등포구 국회대로 612
코레일테크(주),기타공공기관,국토교통부,,대전광역시 중구 대종로 476(은행동)
태권도진흥재단,기타공공기관,문화체육관광부,,전라북도 무주군 설천면 무설로1482
통일연구원,기타공공기관,국무조정실,,서울특별시 서초구 반포대로 217
학교법인한국폴리텍,기타공공기관,고용노동부,,인천광역시 부평구 무네미로 478
한국가스공사,공기업(시장형),산업통상자원부,,대구광역시 동구 첨단로 120
한국가스안전공사,준정부기관(위탁집행형),산업통상자원부,,충청북도 음성군 맹동면 원중로 1390
한국개발연구원,기타공공기관,국무조정실,,세종특별자치시 남세종로 263(반곡동)
한국건강가정진흥원,기타공공기관,여성가족부,,"서울특별시 중구 퇴계로 173(충무로3가, 남산스퀘어) 21층"
한국건강증진개발원,기타공공기관,보건복지부,,서울특별시 광진구 능동로 400 보건복지행정타운 8~10F
한국고용노동교육원,기타공공기관,고용노동부,,"경기도 광주시 오포읍 봉골길 229(문형동, 한국고용노동교육원)"
한국고용정보원,준정부기관(위탁집행형),고용노동부,,충청북도 음성군 맹동면 태정로 6
한국고전번역원,기타공공기관,교육부,,서울특별시 은평구 진관1로 85
한국공예디자인문화진흥원,기타공공기관,문화체육관광부,,"서울특별시 종로구 율곡로 53, 해영회관 5층"
한국공정거래조정원,기타공공기관,공정거래위원회,,서울특별시 중구 세종대로 39(남대문로4가) 서울상공회의소회관 9층
한국공항공사,공기업(시장형),국토교통부,,서울특별시 강서구 하늘길 78
한국과학기술기획평가원,기타공공기관,과학기술정보통신부,,충청북도 음성군 맹동면 원중로 1339
한국과학창의재단,기타공공기관,과학기술정보통신부,,"서울특별시 강남구 테헤란로7길 22, 과학기술회관 2관 4~5층"
한국관광공사,준정부기관(위탁집행형),문화체육관광부,,"강원도 원주시 세계로10, 한국관광공사"
한국광해광업공단,공기업(준시장형),산업통상자원부,,강원도 원주시 혁신로 199 (본관)&cr;원주시 세계로 2    (별관)
한국교육개발원,기타공공기관,국무조정실,,충청북도 진천군 덕산읍 교학로7
한국교육과정평가원,기타공공기관,국무조정실,,충청북도 진천군 덕산읍 교학로 8
한국교육학술정보원,기타공공기관,교육부,,대구광역시 대구광역시 동구 동내로 64(동내동) (우)41061
한국교통안전공단,준정부기관(위탁집행형),국토교통부,,경상북도 김천시 혁신6로 17 (율곡동) 한국교통안전공단
한국교통연구원,기타공공기관,국무조정실,,세종특별자치시 시청대로 370 세종국책연구단지 과학인프라동(반곡동)
한국국방연구원,기타공공기관,국방부,,서울특별시 동대문구 회기로37
한국국제교류재단,기타공공기관,외교부,,"제주특별자치도 서귀포시 신중로55 (법환동, 서귀포시청 2청사)"
한국국제보건의료재단,기타공공기관,보건복지부,,서울특별시 광진구 능동로 400 보건복지행정타운 6~7층
한국국제협력단,준정부기관(위탁집행형),외교부,,경기도 성남시 수정구 대왕판교로 825
한국국토정보공사,준정부기관(위탁집행형),국토교통부,,전라북도 전주시 덕진구 기지로120(중동)
한국기상산업기술원,기타공공기관,기상청,,대전광역시 동구 우암로273(가양동)
한국기술교육대학교,기타공공기관,고용노동부,,충청남도 천안시 동남구 병천면 충절로 1600
한국나노기술원,기타공공기관,과학기술정보통신부,,경기도 수원시
한국남동발전(주),공기업(시장형),산업통상자원부,,경상남도 진주시 사들로 123번길 32(충무공동)
한국남부발전(주),공기업(시장형),산업통상자원부,,부산광역시 남구 문현금융로 40 부산국제금융센터
한국노동연구원,기타공공기관,국무조정실,,세종특별자치시 시청대로 370 세종국책연구단지 경제정책동 5~7층
한국노인인력개발원,기타공공기관,보건복지부,,경기도 고양시 일산동구 하늘마을로106(중산동 1701)
한국농수산식품유통공사,준정부기관(위탁집행형),농림축산식품부,,전라남도 나주시 문화로 227(빛가람동)
한국농어촌공사,준정부기관(위탁집행형),농림축산식품부,,전라남도 나주시 그린로 20 
한국농업기술진흥원,기타공공기관,농촌진흥청,,전라북도 익산시 평동로 457
한국농촌경제연구원,기타공공기관,국무조정실,,전라남도 나주시 빛가람로 601
한국데이터산업진흥원,기타공공기관,과학기술정보통신부,,"서울특별시 중구 세종대로9길 42, 7~8층(서소문동, 부영빌딩)"
한국도로공사,공기업(시장형),국토교통부,,경상북도 김천시 혁신8로 77(율곡동)
한국도로공사서비스(주),기타공공기관,국토교통부,,"경기도 성남시 수정구 창업로57번길 11(시흥동), 2층"
한국도로교통공단,준정부기관(위탁집행형),경찰청,,강원도 원주시 혁신로 2(반곡동)
한국도박문제예방치유원,기타공공기관,문화체육관광부,,"서울특별시 중구 퇴계로 173, 남산스퀘어 8층"
한국동서발전(주),공기업(시장형),산업통상자원부,,울산광역시 중구 종가로 395
한국등산·트레킹지원센터,기타공공기관,산림청,,대전광역시  대덕구 신상로 67
한국디자인진흥원,기타공공기관,산업통상자원부,,경기도 성남시 분당구 양현로 322(야탑동)
한국로봇산업진흥원,기타공공기관,산업통상자원부,,대구광역시 북구 노원로 77(노원동3가)
한국마사회,공기업(준시장형),농림축산식품부,,경기도 과천시 경마공원대로 107
한국마약퇴치운동본부,기타공공기관,식품의약품안전처,,서울특별시 영등포구 선유동2로 57 이레빌딩 신관 14층
한국무역보험공사,준정부기관(기금관리형),산업통상자원부,,서울특별시 종로구 종로 14 (서린동)
한국문학번역원,기타공공기관,문화체육관광부,,서울특별시 강남구 영동대로 112길 32(삼성동) 한국문학번역원
한국문화관광연구원,기타공공기관,문화체육관광부,,서울특별시 강서구 금낭화로 154(방화동)
한국문화예술교육진흥원,기타공공기관,문화체육관광부,,"서울특별시 마포구 상암산로 76(상암동, YTN 뉴스퀘어)"
한국문화예술위원회,기타공공기관,문화체육관광부,,전라남도 나주시 빛가람로 640
한국문화정보원,기타공공기관,문화체육관광부,,"서울특별시 마포구 월드컵북로 400, 6층"
한국문화진흥주식회사,기타공공기관,문화체육관광부,,경기도 광주시 삼지곡길 95
한국발명진흥회,기타공공기관,특허청,,서울특별시 강남구 테헤란로 131 한국지식재산센터
한국방송광고진흥공사,공기업(준시장형),방송통신위원회,,서울특별시 중구 세종대로 124 (태평로 1가)
한국방송통신전파진흥원,준정부기관(위탁집행형),과학기술정보통신부,,전라남도 나주 빛가람로 760(빛가람동)
한국법무보호복지공단,기타공공기관,법무부,,경상북도 김천시 혁신1로 86
