분류,지역,발주처명,발주처분류,약칭,적격심사분류,비고
중앙행정기관(국토교통부),전북,익산지방국토관리청 남원국토관리사무소,익산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),전남,익산지방국토관리청 순천국토관리사무소,익산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),전북,익산지방국토관리청 전주국토관리사무소,익산지방국토관리청,,국토교통부(지방국토관리청/국토부예하기관),
외국기관,미분류,인도 공공사업부,외국기관,,미분류,
외국기관,미분류,인도 해군,외국기관,,미분류,
외국기관,미분류,인도네시아 공공사업부,외국기관,,미분류,
외국기관,해외,인도네시아 공공사업부 수자원국,외국기관,,미분류,
외국기관,미분류,인도네시아 교통부,외국기관,,미분류,
외국기관,미분류,인도네시아 교통부 철도청,외국기관,,미분류,
외국기관,미분류,인도네시아 바탐무역청,외국기관,,미분류,
외국기관,미분류,인도네시아 바탐자유무역청,외국기관,,미분류,
외국기관,미분류,인도네시아 수자원부,외국기관,,미분류,
외국기관,미분류,인도네시아 조달위원회,외국기관,,미분류,
외국기관,미분류,인도네시아 PT PLN,외국기관,,미분류,
외국기관,해외,인도네시아(ADB),외국기관,,미분류,
외국기관,미분류,인도정부,외국기관,,미분류,
지방자치단체(군),강원,인제군 상하수도사업소,인제군,,행정안전부(지방자치단체),
정부투자기관(기타),인천,인천공항에너지(주),공사기타,,인천국제공항공사,
지방자치단체(광역시),인천,인천광역시,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 강화군,인천광역시 강화군,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 검단개발사업소,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 경제자유구역청,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 계양구,인천광역시 계양구,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 공영개발사업소,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 관광공사,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 남구청,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 남동구,인천광역시 남동구,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 도시개발공사,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 도시철도건설본부,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 도시철도기획단,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 동구,인천광역시,,행정안전부(지방자치단체),
지방자치단체(시),인천,인천광역시 미추홀구,인천광역시 미추홀구,,행정안전부(지방자치단체),
지방자치단체(군),인천,인천광역시 부평구,인천광역시 부평구,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 상수도사업본부,인천광역시,,행정안전부(지방자치단체),
지방자치단체(시),인천,인천광역시 상수도사업본부 강화수도사업소,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 서구,인천광역시 서구,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 서부공원사업소,인천광역시,,행정안전부(지방자치단체),
지방자치단체(시),인천,인천광역시 연수구,인천광역시 연수구,,행정안전부(지방자치단체),
지방자치단체(군),인천,인천광역시 옹진군,인천광역시 옹진군,,행정안전부(지방자치단체),
지방자치단체(시),인천,인천광역시 종합건설본부,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 중구,인천광역시 중구,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 지하철건설본부,인천광역시,,행정안전부(지방자치단체),
정부투자기관(공사),인천,인천광역시 지하철공사,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시 환경국 하수과,인천광역시,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천광역시경찰청,지자체기타,,행정안전부(지방자치단체),
정부투자기관(공사),인천,인천교통공사,지자체기타,,행정안전부(지방자치단체),
정부투자기관(공사),인천,인천국제공항공사,공사기타,,인천국제공항공사,
지방자치단체(광역시),인천,인천도시공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(광역시),인천,인천정보산업진흥원,지자체기타,,미분류,
정부투자기관(기타),인천,인천종합에너지(주),공사기타,,미분류,
정부투자기관(기타),인천,인천지방국세청,중앙기타,,조달청(해양수산부산하기관),
중앙행정기관(해양수산부),인천,인천지방해양수산청,인천지방해양수산청,,조달청(해양수산부산하기관),
중앙행정기관(해양수산부),인천,인천지방해양수산청,인천지방해양수산청,,조달청(해양수산부산하기관),
정부투자기관(공사),인천,인천항만공사,공사기타,,국토교통부(지방국토관리청/국토부예하기관),
정부투자기관(기타),인천,인천화력발전소,공사기타,,한국전력공사(발전자회사),
정부투자기관(기타),인천,인천환경공단,한국환경공단,,행정안전부(지방자치단체),
정부투자기관(기타),인천,인천환경공단 송도사업소,한국환경공단,,행정안전부(지방자치단체),
지방자치단체(시),인천,인천환경녹지국하수과,지자체기타,,행정안전부(지방자치단체),
외국기관,해외,일본국제협력기구,외국기관,,미분류,
외국기관,미분류,자메이카 과학기술 에너지자원부,외국기관,,미분류,
외국기관,해외,잠비아 광물에너지물개발부,외국기관,,미분류,
외국기관,미분류,잠비아 교통부,외국기관,,미분류,
외국기관,미분류,잠비아 도로개발국,외국기관,,미분류,
외국기관,해외,"잠비아 상하수도개발, 하수도 환경보호부",외국기관,,미분류,
지방자치단체(군),전남,장흥군 수도사업소,장흥군,,행정안전부(지방자치단체),
정부투자기관(기타),울산,재단법인 에너지경제연구원,공사기타,,미분류,
정부투자기관(기타),세종,재단법인 축산환경관리원,중앙기타,,조달청(해양수산부산하기관),
지방자치단체(시),전남,전남개발공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 강진군,강진군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 강진군 상하수도사업소,강진군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 고흥군,고흥군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 곡성군,곡성군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 곡성군 상하수도사업소,곡성군,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 광양시,광양시,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 구례군,구례군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 구례군 상하수도사업소,구례군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 구례군 환경관리사업소,구례군,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 나주시,나주시,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 나주시 하수도사업소,나주시,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 담양군,담양군,,행정안전부(지방자치단체),
지방자치단체(도),전남,전라남도 도로관리사업소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),전남,전라남도 도로안전관리사업소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),전남,전라남도 도청이전사업본부,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 목포시,목포시,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 목포시 상수도사업소,목포시,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 무안군,무안군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 보성군,보성군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 보성군 상하수도사업소,보성군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 보성군 시설관리사업소,보성군,,행정안전부(지방자치단체),
지방자치단체(도),전남,전라남도 산림과학연구소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),전남,전라남도 산림자원연구소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 순천시,순천시,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 순천시 국제정원박람회추진단,순천시,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 순천시 평생학습문화지원센터,순천시,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 신안군,신안군,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 여수시,여수시,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 여수시 산단지원개발사업소,여수시,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 여수시 상하수도사업소,여수시,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 여천시,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 영광군,영광군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 영암군,영암군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 완도군,완도군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 장성군,장성군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 장성군 맑은물관리사업소,장성군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 장흥군,장흥군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 진도군,진도군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 함평군,함평군,,행정안전부(지방자치단체),
지방자치단체(도),전남,전라남도 해남교육청,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 해남군,해남군,,행정안전부(지방자치단체),
지방자치단체(시),전남,전라남도 해남군 상하수도사업소,해남군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 화순군,화순군,,행정안전부(지방자치단체),
지방자치단체(군),전남,전라남도 화순군 상하수도사업소,화순군,,행정안전부(지방자치단체),
중앙행정기관(기타),전남,전라남도교육청,중앙기타,,조달청(해양수산부산하기관),
지방자치단체(도),전남,전라남도청,전라남도,,행정안전부(지방자치단체),
지방자치단체(도),전북,전라북도 공영개발사업단,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),전북,전라북도 남원시 수도사업소,남원시,,행정안전부(지방자치단체),
지방자치단체(시),전북,전라북도 남원시 환경사업소,남원시,,행정안전부(지방자치단체),
지방자치단체(도),전북,전라북도 도로관리사업소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),전북,전라북도 이리시,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(기타),전북,전라북도 익산교육청,전라북도,,조달청(해양수산부산하기관),
지방자치단체(시),전북,전라북도 전주시 덕진구,전주시,,행정안전부(지방자치단체),
지방자치단체(시),전북,전라북도 전주시 상수도사업소,전주시,,행정안전부(지방자치단체),
지방자치단체(시),전북,전라북도 전주시 환경사업소,전주시,,행정안전부(지방자치단체),
지방자치단체(도),전북,전북개발공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 고창군,고창군,,행정안전부(지방자치단체),
지방자치단체(시),전북,전북특별자치도 군산시,군산시,,행정안전부(지방자치단체),
지방자치단체(시),전북,전북특별자치도 군산시 기후환경국,군산시,,행정안전부(지방자치단체),수도사업소->기후환경국
지방자치단체(시),전북,전북특별자치도 김제시,김제시,,행정안전부(지방자치단체),
지방자치단체(시),전북,전북특별자치도 남원시,남원시,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 무주군,무주군,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 부안군,부안군,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 부안군 상하수도사업소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 순창군,순창군,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 완주군,완주군,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 완주군 상하수도사업소,완주군,,행정안전부(지방자치단체),
지방자치단체(시),전북,전북특별자치도 익산시,익산시,,행정안전부(지방자치단체),
지방자치단체(시),전북,전북특별자치도 익산시 상하수도사업단,익산시,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 임실군,임실군,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 장수군,장수군,,행정안전부(지방자치단체),
지방자치단체(군),경기,전북특별자치도 장수군 농업기술센터,장수군,,행정안전부(지방자치단체),
지방자치단체(시),전북,전북특별자치도 전주시,전주시,,행정안전부(지방자치단체),
지방자치단체(시),전북,전북특별자치도 전주시 완산구,전주시,,행정안전부(지방자치단체),
지방자치단체(시),전북,전북특별자치도 정읍시,정읍시,,행정안전부(지방자치단체),
지방자치단체(시),전북,전북특별자치도 정읍시 상하수도사업소,정읍시,,행정안전부(지방자치단체),
지방자치단체(군),전북,전북특별자치도 진안군,진안군,,행정안전부(지방자치단체),
지방자치단체(도),전북,전북특별자치도청,전라북도,,행정안전부(지방자치단체),
지방자치단체(시),전북,전주시 상하수도본부,전주시,,행정안전부(지방자치단체),
지방자치단체(시),전북,정읍시 농업기술센터,정읍시,,행정안전부(지방자치단체),
중앙행정기관(국방부),,제1575부대,국방부,,,
중앙행정기관(국방부),경기,제1968부대,국방부,,,
중앙행정기관(국방부),강원,제1군사령부,국방부,,국방부,
중앙행정기관(국방부),,제1보병사단,국방부,,,
중앙행정기관(국방부),서울,제20전투비행단,국방부,,국방부,
중앙행정기관(국방부),,제2136부대,국방부,,,
중앙행정기관(국방부),서울,제2672부대,국방부,,국방부,
중앙행정기관(국방부),서울,제3169부대,국방부,,국방부,
중앙행정기관(국방부),경기,제3182부대,국방부,,,
중앙행정기관(국방부),경북,제3196부대,국방부,,국방부,
중앙행정기관(국방부),서울,제3710부대,국방부,,국방부,
중앙행정기관(국방부),,제5181부대,국방부,,,
중앙행정기관(국방부),경기,제5708부대,국방부,,,
중앙행정기관(국방부),경기,제6군단사령부,국방부,,,
중앙행정기관(국방부),서울,제7276부대,국방부,,국방부,
중앙행정기관(국방부),,제7296부대,국방부,,,
중앙행정기관(국방부),경기,제7군단,국방부,,,
중앙행정기관(국방부),경기,제8기계화보병사단,국방부,,,
중앙행정기관(국방부),인천,제9196부대,국방부,,국방부,
중앙행정기관(국방부),전남,제9873부대,국방부,,국방부,
지방자치단체(도),제주,제주개발건설사무소,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(국토교통부),제주,제주국제자유도시개발센터,국토교통부기타,,국토교통부(지방국토관리청/국토부예하기관),
지방자치단체(군),제주,제주도 남제주군,제주시,,행정안전부(지방자치단체),
지방자치단체(군),제주,제주도 북제주군,제주시,,행정안전부(지방자치단체),
지방자치단체(도),제주,제주세계자연유산관리단,지자체기타,,행정안전부(지방자치단체),
지방자치단체(광역시),제주,제주에너지공사,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(국토교통부),제주,제주지방국토관리청,국토교통부기타,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(국토교통부),제주,제주지방항공청,국토교통부기타,,국토교통부(지방국토관리청/국토부예하기관),
중앙행정기관(해양수산부),제주,제주지방해양항만청,해양수산부기타,,조달청(해양수산부산하기관),
지방자치단체(도),제주,제주특별자치도,제주특별자치도,,행정안전부(지방자치단체),
지방자치단체(도),제주,제주특별자치도 도로관리사업소,제주특별자치도,,행정안전부(지방자치단체),
지방자치단체(도),제주,제주특별자치도 상하(폐기)_사용금지!!,제주특별자치도,,행정안전부(지방자치단체),
지방자치단체(도),제주,제주특별자치도 상하수도본부,제주특별자치도,,행정안전부(지방자치단체),
지방자치단체(시),제주,제주특별자치도 서귀포시,서귀포시,,행정안전부(지방자치단체),
지방자치단체(도),제주,제주특별자치도 자치경찰단,제주특별자치도,,행정안전부(지방자치단체),
지방자치단체(시),제주,제주특별자치도 제주시,제주시,,행정안전부(지방자치단체),
지방자치단체(시),제주,제주특별자치도 제주시 애월읍사무소,제주시,,행정안전부(지방자치단체),
지방자치단체(도),제주,제주특별자치도개발공사,제주특별자치도,,행정안전부(지방자치단체),
지방자치단체(도),제주,제주특별자치도청,제주특별자치도,,행정안전부(지방자치단체),
지방자치단체(시),충북,제천시 수도사업소,제천시,,행정안전부(지방자치단체),
중앙행정기관(기타),대전,조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),강원,조달청 강원지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),경남,조달청 경남지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),광주,조달청 광주지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),대구,조달청 대구지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),대전,조달청 대전지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),부산,조달청 부산지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),서울,조달청 서울지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),인천,조달청 인천지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),전북,조달청 전북지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),전북,조달청 전주지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),제주,조달청 제주지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(기타),충북,조달청 충북지방조달청,조달청,,조달청(해양수산부산하기관),
중앙행정기관(해양수산부),대구,중앙119구조본부,중앙기타,,조달청(해양수산부산하기관),
중앙행정기관(기타),,중앙선거관리위원회,중앙기타,,,
중앙행정기관(국토교통부),기타,지방국토관리청,국토교통부기타,,미분류,
중앙행정기관(국방부),경기,지상작전사령부,국방부,,,
중앙행정기관(기타),서울,지식경제부,중앙기타,,조달청(해양수산부산하기관),
중앙행정기관(기타),경기,지식경제부 경인지방우정청,중앙기타,,조달청(해양수산부산하기관),
지방자치단체(도),기타,지자체연구기관,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),경기,진위고등학교,지자체기타,,조달청(해양수산부산하기관),
지방자치단체(시),경남,진주시 맑은물사업소 하수과,진주시,,행정안전부(지방자치단체),
지방자치단체(시),경남,진주시도시개발공특,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),충북,진천군 상하수도사업소,진천군,,행정안전부(지방자치단체),
지방자치단체(시),경남,창원시 농업기술센터,창원시,,행정안전부(지방자치단체),
지방자치단체(시),경남,창원시 푸른도시사업소,창원시,,행정안전부(지방자치단체),
지방자치단체(시),경남,창원시청(도시개발사업소),지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충남,천안시 공원녹지사업본부,천안시,,행정안전부(지방자치단체),
지방자치단체(시),충남,천안시 맑은물사업본부,천안시,,행정안전부(지방자치단체),
중앙행정기관(철도청),대전,철도청,한국철도공사,,한국철도공사,
중앙행정기관(철도청),대전,철도청 고속철도본부,한국철도공사,,한국철도공사,
중앙행정기관(철도청),대전,철도청 대전지역사무소,한국철도공사,,한국철도공사,
중앙행정기관(철도청),부산,철도청 부산지역사무소,한국철도공사,,한국철도공사,
중앙행정기관(철도청),서울,철도청 사업개발본부,한국철도공사,,한국철도공사,
중앙행정기관(철도청),서울,철도청 서울지역사무소,한국철도공사,,한국철도공사,
중앙행정기관(철도청),대전,철도청 설계사무소,한국철도공사,,한국철도공사,
중앙행정기관(철도청),전남,철도청 순천지역사무소,한국철도공사,,한국철도공사,
중앙행정기관(철도청),경남,철도청 영주지역사무소,한국철도공사,,한국철도공사,
중앙행정기관(철도청),경기,철도청 중부건설사업소,한국철도공사,,한국철도공사,
중앙행정기관(철도청),대전,철도청 철도건설본부,한국철도공사,,한국철도공사,
지방자치단체(시),충북,청주시 공원산림본부,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충북,청주시 도로사업본부,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충북,청주시 도시개발사업단,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충북,청주시 상수도사업본부,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충북,청주시 환경관리본부,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),강원,춘천도시개발공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),강원,춘천시 (공영개발),춘천시,,행정안전부(지방자치단체),
지방자치단체(시),강원,춘천시 상하수도사업본부,춘천시,,행정안전부(지방자치단체),
지방자치단체(도),충북,충북개발공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),충북,충북경제자유구역청,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(국토교통부),충북,충북지방경찰청,중앙기타,,조달청(해양수산부산하기관),
중앙행정기관(국토교통부),충북,충주국도관리사무소,국토교통부기타,,국토교통부(지방국토관리청/국토부예하기관),
정부투자기관(기타),충북,충주기업도시사업단,지자체기타,,미분류,
지방자치단체(도),충남,충청남도 건설본부,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 계룡시,계룡시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 계룡출장소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 공주시,공주시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 공주시 시설관리사업소,공주시,,행정안전부(지방자치단체),
중앙행정기관(기타),충남,충청남도 교육청,충청남도,,조달청(해양수산부산하기관),
지방자치단체(군),충남,충청남도 금산군,금산군,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 논산시,논산시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 논산시 상수도사업소,논산시,,행정안전부(지방자치단체),
지방자치단체(도),충남,충청남도 농축산물류센터관리공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 당진시,당진시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 당진시 수도과,당진시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 대천시,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),충남,충청남도 백제문화단지관리사업소,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(기타),충남,충청남도 보령교육청,충청남도,,조달청(해양수산부산하기관),
지방자치단체(시),충남,충청남도 보령시,보령시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 보령시 수도사업소,보령시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 보령시 해수욕장개발사업소,보령시,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 부여군,부여군,,행정안전부(지방자치단체),
지방자치단체(도),충남,충청남도 산림자원연구소,충청남도,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 서산시,서산시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 서산시 수도사업소,서산시,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 서천군,서천군,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 서천군 농업기술센터,서천군,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 서천군 맑은물사업소,서천군,,행정안전부(지방자치단체),
지방자치단체(도),충남,충청남도 아산만권신시가지 개발기획단,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 아산시,아산시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 아산시 상하수도사업소,아산시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 아산시 수도사업소,아산시,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 연기군,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 예산군,예산군,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 예산군 상하수도사업소,예산군,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 온양시,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),충남,충청남도 종합건설사업소 공주지소,지자체기타,,행정안전부(지방자치단체),
중앙행정기관(기타),충남,충청남도 천안교육청 천안중학교,충청남도,,조달청(해양수산부산하기관),
지방자치단체(시),충남,충청남도 천안시,천안시,,행정안전부(지방자치단체),
지방자치단체(시),충남,충청남도 천안시 도시개발사업소,천안시,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 청양군,청양군,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 청양군 맑은물사업소,청양군,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 태안군,태안군,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 태안군 문화예술센터,태안군,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 태안군 상하수도사업소,태안군,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 태안군 환경관리센터,태안군,,행정안전부(지방자치단체),
지방자치단체(군),충남,충청남도 홍성군,홍성군,,행정안전부(지방자치단체),
지방자치단체(도),충남,충청남도개발공사,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),충남,충청남도청,충청남도,,행정안전부(지방자치단체),
지방자치단체(도),충북,충청북도 개발사업소장,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 괴산군,괴산군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 괴산군 수도사업소,괴산군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 단양군,단양군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 단양군 상하수도사업소,단양군,,행정안전부(지방자치단체),
정부투자기관(공사),충북,충청북도 도시개발공사,충청북도,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 보은군,보은군,,행정안전부(지방자치단체),
지방자치단체(도),충북,충청북도 산림환경연구소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 영동군,영동군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 영동군 상수도사업소,영동군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 옥천군,옥천군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 옥천군 상하수도사업소,옥천군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 음성군,음성군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 음성군 수도사업소,음성군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 음성군 시설관리사업소,음성군,,행정안전부(지방자치단체),
지방자치단체(시),충북,충청북도 제천시,제천시,,행정안전부(지방자치단체),
지방자치단체(시),충북,충청북도 제천시 환경사업소,제천시,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 증평군,증평군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 증평군 수도사업소,증평군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 증평군 시설관리사업소,증평군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 진천군,진천군,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 진천군 명품도시추진단,진천군,,행정안전부(지방자치단체),
지방자치단체(도),충북,충청북도 청남대관리사업소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 청원군,지자체기타,,행정안전부(지방자치단체),
지방자치단체(군),충북,충청북도 청원군 상하수도사업소,지자체기타,,행정안전부(지방자치단체),
지방자치단체(시),충북,충청북도 청주시,지자체기타,,행정안전부(지방자치단체),
지방자치단체(도),충북,충청북도 청주시 흥덕구,충청북도,,행정안전부(지방자치단체),
지방자치단체(시),충북,충청북도 충주시,충주시,,행정안전부(지방자치단체),
지방자치단체(시),충북,충청북도 충주시 물관리사업소,충주시,,행정안전부(지방자치단체),
지방자치단체(시),충북,충청북도 충주시 상수도사업소,충주시,,행정안전부(지방자치단체),
지방자치단체(시),충북,충청북도 충주시 하수도사업소,충주시,,행정안전부(지방자치단체),
지방자치단체(도),충북,충청북도청,충청북도,,행정안전부(지방자치단체),
외국기관,해외,카자흐스탄 교통통신부,외국기관,,미분류,
외국기관,미분류,카자흐스탄 농림부 수자원위원회,외국기관,,미분류,
외국기관,미분류,카즈흐스탄 농림부 수자원위원회,외국기관,,미분류,
외국기관,해외,캄보디아,외국기관,,미분류,
